name,points,weight,volume
item242,12,24,45
item842,15,36,78
item733,15,21,54
item930,19,25,56
item309,13,37,66
item228,26,34,56
item932,27,24,41
item492,14,38,67
item719,22,38,53
item767,30,35,55
item997,26,31,61
item656,11,27,54
item832,26,21,66
item557,21,24,67
item781,17,40,41
item885,12,34,71
item274,24,34,40
item327,11,22,45
item910,16,27,56
item176,28,39,45
item88,13,29,62
item417,12,32,66
item714,28,32,62
item962,20,29,64
item370,13,27,71
item542,25,30,75
item792,29,37,66
item632,16,23,69
item63,22,22,43
item590,12,27,42
item160,17,21,66
item71,25,33,59
item529,17,20,54
item500,11,39,75
item706,20,23,42
item758,13,32,42
item741,24,24,63
item125,21,22,44
item591,26,23,68
item718,18,32,61
item684,21,34,72
item354,14,34,61
item939,25,34,44
item606,29,38,42
item672,22,27,76
item699,21,29,62
item277,15,23,80
item459,29,36,74
item623,24,27,60
item994,19,26,49
item646,15,20,49
item652,23,36,60
item644,19,21,46
item891,17,35,78
item446,23,26,50
item608,12,38,63
item603,19,25,43
item564,18,29,56
item572,28,40,46
item620,26,27,58
item368,25,26,60
item410,11,26,42
item25,29,29,68
item93,12,27,41
item677,25,38,50
item593,28,24,42
item787,16,32,73
item611,25,38,47
item227,21,23,74
item515,18,24,44
item163,25,22,65
item607,27,37,73
item774,23,30,48
item772,12,38,72
item665,19,38,53
item795,17,34,75
item276,22,33,41
item549,24,31,78
item262,28,40,46
item587,21,32,71
item592,27,34,69
item852,29,26,51
item993,19,38,79
item312,23,32,62
item426,25,34,71
item929,15,26,50
item369,24,37,66
item60,28,21,74
item420,28,35,76
item612,19,36,61
item194,12,27,45
item897,12,26,42
item552,19,39,55
item414,12,29,51
item300,19,35,51
item491,14,24,71
item19,22,30,78
item397,29,34,64
item272,18,23,66
item804,27,26,53
item838,27,24,54
item786,11,31,58
item550,19,23,50
item337,24,38,77
item152,19,26,64
item37,22,40,61
item825,15,26,78
item907,16,22,70
item753,27,29,66
item207,17,23,65
item450,15,35,57
item30,15,31,60
